pl_name,hostname,st_mass,pl_bmassj,pl_massj,pl_orbsmax,pl_orbeccen,sy_snum,sy_pnum,pl_orbper,planet_mass_jup,planet_solar_mass,star_solar_mass,ecc,sma
TOI-1444 b,TOI-1444,0.9513,0.01126394,0.0112639396641471,0.0116,0.0,1,1,0.4702743,0.01126394,1.07570627e-05,0.9513,0.0,0.0116
HD 15906 c,HD 15906,0.79,0.028,,0.141,0.04,1,2,21.583298,0.028,2.674e-05,0.79,0.04,0.141
GJ 680 b,GJ 680,0.456,25.1,25.1,10.138,0.381,2,1,17281.66514,25.1,0.023970500000000002,0.456,0.381,10.138
HD 75302 b,HD 75302,1.06,5.4,5.4,5.3,0.39,1,1,4356.0,5.4,0.005157,1.06,0.39,5.3
TOI-762 A b,TOI-762 A,0.442,0.251,0.251,0.03418,0.083,2,1,3.4716826,0.251,0.000239705,0.442,0.083,0.03418
HAT-P-14 b,HAT-P-14,2.65,3.44,3.44,0.0596,0.11,2,1,4.62767,3.44,0.0032852,2.65,0.11,0.0596
TOI-4515 b,TOI-4515,0.949,2.005,2.005,0.118,0.461,1,1,15.266446,2.005,0.0019147749999999999,0.949,0.461,0.118
HD 8535 b,HD 8535,1.13,0.68,,2.45,0.15,2,1,1313.0,0.68,0.0006494000000000001,1.13,0.15,2.45
HD 33844 c,HD 33844,1.78,1.75,,2.24,0.13,1,2,916.0,1.75,0.00167125,1.78,0.13,2.24
Kepler-1058 b,Kepler-1058,0.73,0.0247,,0.3679,0.0,1,1,110.96546,0.0247,2.35885e-05,0.73,0.0,0.3679
Kepler-122 f,Kepler-122,1.03,0.113,0.113,0.28575,0.0,1,5,56.268,0.113,0.000107915,1.03,0.0,0.28575
Kepler-1227 b,Kepler-1227,0.97,0.0184,,0.38555,0.0,1,1,94.2887577,0.0184,1.7572e-05,0.97,0.0,0.38555
Kepler-1235 b,Kepler-1235,0.93,0.00131,,0.04836,0.0,1,1,4.16055856,0.00131,1.25105e-06,0.93,0.0,0.04836
Kepler-1037 b,Kepler-1037,0.82,0.00687,,0.0198,0.0,1,1,1.063788673,0.00687,6.56085e-06,0.82,0.0,0.0198
Kepler-1104 b,Kepler-1104,1.3,0.00642,,0.06321,0.0,1,1,5.03728015,0.00642,6.1311000000000005e-06,1.3,0.0,0.06321
Kepler-1121 b,Kepler-1121,1.29,0.0136,,0.11818,0.0,1,1,13.15141081,0.0136,1.2988e-05,1.29,0.0,0.11818
Kepler-1139 b,Kepler-1139,0.94,0.0057,,0.01664,0.0,1,1,0.813166719,0.0057,5.4435000000000005e-06,0.94,0.0,0.01664
Kepler-750 c,Kepler-750,1.15,0.0102,,0.05009,0.0,1,2,4.08899022,0.0102,9.741e-06,1.15,0.0,0.05009
HD 86081 b,HD 86081,1.21,1.48,,0.0346,0.0119,2,1,2.1378431,1.48,0.0014134,1.21,0.0119,0.0346
HD 183579 b,HD 183579,0.996,0.06418558,0.0641855779744697,0.1322,0.061,1,1,17.471291,0.06418558,6.129722890000001e-05,0.996,0.061,0.1322
HD 11506 c,HD 11506,1.22,0.4,,0.771,0.228,1,3,223.92,0.4,0.000382,1.22,0.228,0.771
TOI-776 b,TOI-776,0.542,0.01573176,0.0157317593074681,0.0653,0.052,1,2,8.24662,0.01573176,1.5023830800000002e-05,0.542,0.052,0.0653
HATS-18 b,HATS-18,1.037,1.9795,1.9795,0.0174,0.166,1,1,0.83784,1.9795,0.0018904225,1.037,0.166,0.0174
TOI-1448 b,TOI-1448,0.372,0.06135386,0.0613538612991255,0.0567,0.36,1,1,8.112245,0.06135386,5.8592936300000006e-05,0.372,0.36,0.0567
WASP-154 b,WASP-154,0.8,0.626,0.626,0.044,0.0,1,1,3.811678,0.626,0.00059783,0.8,0.0,0.044
GJ 3988 b,GJ 3988,0.1842,0.01161004,,0.0405,0.0,1,1,6.9442,0.01161004,1.10875882e-05,0.1842,0.0,0.0405
HIP 70849 b,HIP 70849,0.65,4.5,4.5,3.99,0.65,2,1,3649.0,4.5,0.0042975,0.65,0.65,3.99
TOI-2641 b,TOI-2641,1.16,0.386,0.386,0.0607,0.18,1,1,4.880974,0.386,0.00036863,1.16,0.18,0.0607
Kepler-85 e,Kepler-85,0.947,0.0018878,0.00188780165497278,0.163,0.0,1,4,25.216751,0.0018878,1.802849e-06,0.947,0.0,0.163
